topic	weight	words
161	0,0453	tijd eeuwig dood mens doden sterven vergaan haast wereld och einde kort rijk lang moeten dag worden graf hel ziel 
162	0,00369	waarheid naâm vals christen schijn leugen mond bedriegen daad noemen veinzen kennis mom liegen roemen heet lest schrijven waan gemoet 
163	0,05781	god heere enten ende dood wart gods gheen zondaar wereld wilt uan indië rijk verheffen sijn gheuen mens godt zonde 
164	0,00647	nog hemel hert zich hemels zieden sijn oog leggen ten eeuwig ligt heen staat heyl maackt zondaar heylig scene werelds 
165	0,01436	vrede twist vol mede haat peis nijd elk strijd mens deur eendracht zoeken rust vree wonen oorlog gemeen tweedracht scheiden 
166	0,12264	bloed straf snood wreed boos kwaad wraak vol zelf worden fel haat tegen vals vrij schande toorn over plagen spijt 
167	0,00137	kyrie fijn pieragie eleison heere ten weder vol sonne welcoom laet schijnen geven pijnen niemandt regen chiambriere haal nae ouy 
168	0,07652	zondaar enten vrij klaar vol zwaar snel zaad dood kwaad elk noot fel sonder eeuwig ten haer deur bloot zenden 
169	0,00632	iesus iesu alleluia zijd heilig christ kinnetje zek geboren godes soon heyligheyt zondaar lieven zingen iesum waar genaed fijn gans 
170	0,00797	hert noden laet heen ach woord kracht hulp ramp oog mond mijne waer moed recht oor wech laten ten noyt 
171	0,01246	godt godts hert deugd waer boven goed vreugde liefde eeuwig licht wonder heeft ziel vier nen altijd loven scene hen 
172	0,01943	nog spreken mede toen heb worden toe klaar ben pleizier hoord man juffrouw vrouw kind heel meysje eens dogter drie 
173	0,00272	verdriet wijsheid yder even ruw heylighe len loopt stelt duren heylige drijven noegden meedeelden wikken zang letter beleggen neemtse naso 
174	0,00421	david elias saul achab israel gods naboth baal volk dauid straf propheten goliath propheet doden davids salomon nabal ras israels 
175	0,00973	lief alzo dag over och rijden ruyter groen klein stout moede zingen fijn meisje leed dragen nacht drie lang jij 
176	0,01254	myn hert hun godt altydt hadd gheen oft hebb naer maken ghelyck vier sal uyt alleen jesus maeght deês syn 
177	0,05058	liefde lieven hert liefd hart min ziel minnen beminnen zin lief kracht blijven waard gemoed brand binnen ontsteken deugd grond 
178	0,02192	zingen zang stem geluid spel spelen hoog lof oor keel horen fluit snaar kwelen snaren toon klank onder klinken gezang 
179	0,03328	tijd jaar jong oud jeugd dag oude vreugde nieuw dagen wens gelijk beginnen dienen lang iaren grijs ouderdom deugd sparen 
180	0,0057	heere hart ende ghij zidel gratie wilt jesus altyt hij ziel wijl liefde tijd zelf zonde zeer laet leiden myn 
181	0,00238	schaar kerkhof vlas roepje vleesch steen mesje mes sliep tonen schier laburdon elsselijn zwart daerom tierelieron leunis kooren fraai pater 
182	0,03406	zonde kwaad schuld heb genade zond vergeven ben zenden misdaad straf sonde ziel over straffen mijne misdoen zwaar zondaar wonden 
183	0,00596	west oost bloed zieden moeder zuid oosten noord kind waard eerst teder jong rachel westen herodes oor vers troosten schort 
184	0,00551	satan wilt kwaad zondaar goed nieuw doet teghen vruchten vroom sal loop zwaar vlees hoofd job dood duyvel kroon vallen 
185	0,00869	toch god vrienden laet och godt moeten horen vroom laten zuster kinderen enten haer vrede vader lief broeder groet goed 
186	0,00231	hansken menen amarilli toe jeck val miede zien und bie man eyn ein nicht ich ond noe gans durch wier 
187	0,00593	dijn deur ten noyt zulk jck naer princesse knecht noden gans edel onder maagd weet duizend vast heden geheel mijnen 
188	0,0021	hun dijn volk land stad romen gods god kerk zek maraen heren worden bosch godes heil lang spaensche prinz tis 
189	0,01345	prins weer land oranje heel schepen koning mede kant aen verheven horen vloot edel spanjen helden over kroon roepen lang 
190	0,00252	christus deugd ende liefde meyboom sijn mey eeuwig jok wilt groen water laurens zonde zingen wort sonde heilig wet verwinnen 
191	0,00656	ioseph volk israel pharao egypten daniel godt moses sarila koning zee doe pharo rood susanna bel steen broeders leeuwen israël 
192	0,00501	christus spreken water vrouken ende iesus heere vol bidden sprack zelf hoort drinken prijzen zondaar wilt tempel pharizeen iesum verstaan 
193	0,00289	duren strekken zek wijd wee veer altijd goedheid mier mildheyd immerimmermeer sijne evoë goedtheydt evoẽ geleide oude vrij haastig mal 
194	0,00838	vriend sijn onder mijnen liefelijk lief ogen ben ghelijck barsten reuk mijne vriendin scholen wijn gelijk liefste zieden siet stem 
195	0,09267	ziel lust goed hoog rust hert schat gemoed vinden zek waar zelf vrij alles vreugde wens aard oog dwaas hart 
196	0,00624	hun godt geven waar vreugde kwaad wees gods eeuwig vrome dood nooit deese naar licht oock staat zieden sal weer 
197	0,03286	groen mey winter veld kruid tijd bloemen weer zingen velden vol vreugde gras liefelijk springen aangenaam lucht bomen blad ieder 
198	0,00662	vvant vvat vvilt vvil vvaer vvie weder uvven foire vvel vvanneer wezen n't maagd vvaerom vrolikheyt may vvas faderie ladron 
199	0,07178	ziel eeuwig heil kracht gunst ach hert ten steeds kom genade goed leggen hart zidel eens alles nooit waar weg 
