	incnormid	recordid	bronid	w_g	herdrukid	year	top1	top2	top3
187	292.0	27830	1016976	wereldlijk en geestelijk	926852.0	1624.0	topic 9	topic 21	topic 0
188	292.0	27830	1017711	wereldlijk en geestelijk	928622.0	1610.0	topic 9	topic 21	topic 0
189	292.0	27830	1008570	wereldlijk en geestelijk	926458.0	1601.0	topic 9	topic 21	topic 0
190	292.0	27830	1017165	wereldlijk en geestelijk	926336.0	1603.0	topic 9	topic 21	topic 0
191	292.0	27830	1000461	wereldlijk en geestelijk	908728.0	1598.0	topic 9	topic 21	topic 0
192	292.0	27830	1000254	wereldlijk en geestelijk	908665.0	1592.0	topic 9	topic 21	topic 0
193	292.0	27830	1000021	wereldlijk en geestelijk	908616.0	1588.0	topic 9	topic 21	topic 0
194	292.0	27830	1017704	wereldlijk en geestelijk	926499.0	1616.0	topic 9	topic 21	topic 0
195	293.0	147625	1001829	wereldlijk		1746.0	topic 11	topic 20	topic 30
196	293.0	176335	1016024	wereldlijk		1719.0	topic 11	topic 20	topic 30
197	296.0	32846	1011034	geestelijk		1614.0	topic 15	topic 9	topic 18
198	298.0	12111	1001876	geestelijk	911873.0	1614.0	topic 1	topic 48	topic 9
199	298.0	12111	1004985	geestelijk	928142.0	1609.0	topic 1	topic 48	topic 9
200	298.0	22186	1001061	geestelijk		1605.0	topic 1	topic 48	topic 9
201	298.0	146785	1004631	geestelijk		1619.0	topic 1	topic 48	topic 9
202	298.0	151073	1001622	geestelijk		1628.0	topic 1	topic 48	topic 9
203	298.0	197287	1001856	geestelijk		1617.0	topic 1	topic 48	topic 9
204	298.0	12111	1000877	geestelijk		1617.0	topic 1	topic 48	topic 9
205	299.0	197034	1015663	wereldlijk		1725.0	topic 32	topic 30	topic 12
206	299.0	151076	1001801	wereldlijk		1675.0	topic 32	topic 30	topic 12
207	299.0	175851	1015648	wereldlijk		1663.0	topic 32	topic 30	topic 12
208	299.0	151077	1001829	wereldlijk en geestelijk		1746.0	topic 32	topic 30	topic 12
209	299.0	151076	1001825	wereldlijk	922605.0	1725.0	topic 32	topic 30	topic 12
210	299.0	151075	1004274	wereldlijk		1700.0	topic 32	topic 30	topic 12
211	299.0	23781	1015695	wereldlijk		1629.0	topic 32	topic 30	topic 12
212	301.0	151074	1004274	wereldlijk		1700.0	topic 30	topic 3	topic 15
213	302.0	3763	1000198	geestelijk		1582.0	topic 31	topic 9	topic 46
214	304.0	21286	1000079	geestelijk		1558.0	topic 9	topic 31	topic 46
215	304.0	19189	1000077	geestelijk		1552.0	topic 9	topic 31	topic 46
216	304.0	21286	1000131	geestelijk	900908.0	1595.0	topic 9	topic 31	topic 46
217	304.0	21286	1000427	geestelijk	900907.0	1580.0	topic 9	topic 31	topic 46
218	304.0	21286	1000082	geestelijk	900680.0	1563.0	topic 9	topic 31	topic 46
219	304.0	19189	1001531	geestelijk	909271.0	1577.0	topic 9	topic 31	topic 46
220	304.0	19189	1000451	geestelijk	907969.0	1600.0	topic 9	topic 31	topic 46
221	304.0	19189	1000094	geestelijk	907648.0	1596.0	topic 9	topic 31	topic 46
222	304.0	19189	1000089	geestelijk	906304.0	1579.0	topic 9	topic 31	topic 46
223	304.0	19189	1000091	geestelijk	905014.0	1582.0	topic 9	topic 31	topic 46
224	304.0	19189	1000344	geestelijk	907174.0	1582.0	topic 9	topic 31	topic 46
225	304.0	19189	1000093	geestelijk	902950.0	1593.0	topic 9	topic 31	topic 46
226	304.0	19189	1000096	geestelijk	902951.0	1599.0	topic 9	topic 31	topic 46
227	304.0	19189	1000083	geestelijk	900210.0	1566.0	topic 9	topic 31	topic 46
228	304.0	19189	1000084	geestelijk	902347.0	1569.0	topic 9	topic 31	topic 46
229	304.0	19189	1000087	geestelijk	902684.0	1577.0	topic 9	topic 31	topic 46
230	304.0	19189	1000078	geestelijk	900002.0	1556.0	topic 9	topic 31	topic 46
231	304.0	19189	1000090	geestelijk	902947.0	1580.0	topic 9	topic 31	topic 46
232	304.0	19189	1000092	geestelijk	902948.0	1589.0	topic 9	topic 31	topic 46
233	304.0	19189	1000557	geestelijk	902949.0	1591.0	topic 9	topic 31	topic 46
234	304.0	19189	1000088	geestelijk	902946.0	1579.0	topic 9	topic 31	topic 46
235	305.0	19196	1000089	geestelijk	906309.0	1579.0	topic 9	topic 31	topic 10
236	305.0	19196	1000077	geestelijk		1552.0	topic 9	topic 31	topic 10
237	305.0	21291	1000131	geestelijk	900918.0	1595.0	topic 9	topic 31	topic 10
238	305.0	21291	1000427	geestelijk	900917.0	1580.0	topic 9	topic 31	topic 10
239	305.0	21291	1000082	geestelijk	900685.0	1563.0	topic 9	topic 31	topic 10
240	305.0	19196	1001531	geestelijk	909276.0	1577.0	topic 9	topic 31	topic 10
241	305.0	19196	1000451	geestelijk	907974.0	1600.0	topic 9	topic 31	topic 10
242	305.0	19196	1000094	geestelijk	907653.0	1596.0	topic 9	topic 31	topic 10
243	305.0	19196	1000344	geestelijk	907179.0	1582.0	topic 9	topic 31	topic 10
244	305.0	19196	1000091	geestelijk	905019.0	1582.0	topic 9	topic 31	topic 10
245	305.0	21291	1000079	geestelijk		1558.0	topic 9	topic 31	topic 10
246	305.0	19196	1000093	geestelijk	902980.0	1593.0	topic 9	topic 31	topic 10
247	305.0	19196	1000557	geestelijk	902979.0	1591.0	topic 9	topic 31	topic 10
248	305.0	19196	1000092	geestelijk	902978.0	1589.0	topic 9	topic 31	topic 10
249	305.0	19196	1000090	geestelijk	902977.0	1580.0	topic 9	topic 31	topic 10
250	305.0	19196	1000088	geestelijk	902976.0	1579.0	topic 9	topic 31	topic 10
251	305.0	19196	1000087	geestelijk	902689.0	1577.0	topic 9	topic 31	topic 10
252	305.0	19196	1000084	geestelijk	902352.0	1569.0	topic 9	topic 31	topic 10
253	305.0	19196	1000095	geestelijk	901920.0	1559.0	topic 9	topic 31	topic 10
254	305.0	19196	1000078	geestelijk	900476.0	1556.0	topic 9	topic 31	topic 10
255	305.0	19196	1000083	geestelijk	900006.0	1566.0	topic 9	topic 31	topic 10
256	305.0	19196	1000096	geestelijk	902981.0	1599.0	topic 9	topic 31	topic 10
257	308.0	151168	1004274	wereldlijk		1700.0	topic 30	topic 3	topic 19
258	309.0	27048	1001514	wereldlijk		1576.0	topic 9	topic 32	topic 19
259	309.0	27048	1017713	wereldlijk	929086.0	1620.0	topic 9	topic 32	topic 19
260	309.0	27048	1016976	wereldlijk	926840.0	1624.0	topic 9	topic 32	topic 19
261	309.0	27048	1017704	wereldlijk	926487.0	1616.0	topic 9	topic 32	topic 19
262	309.0	27048	1008570	wereldlijk	926397.0	1601.0	topic 9	topic 32	topic 19
263	309.0	27048	1000558	wereldlijk	908348.0	1578.0	topic 9	topic 32	topic 19
264	309.0	27048	1016877	wereldlijk	926551.0	1683.0	topic 9	topic 32	topic 19
265	312.0	27106	1000558	wereldlijk	908393.0	1578.0	topic 32	topic 8	topic 21
266	312.0	27106	1017015	wereldlijk	926342.0	1616.0	topic 32	topic 8	topic 21
267	312.0	27106	1008570	wereldlijk	926440.0	1601.0	topic 32	topic 8	topic 21
268	312.0	27106	1001514	wereldlijk		1576.0	topic 32	topic 8	topic 21
